id_venda,id_cliente,id_produto,quantidade_comprada,data_da_venda
1,1,1,3,2023-05-10
2,2,4,8,2023-04-20
3,3,2,5,2022-12-01
4,4,5,2,2021-08-15
5,1,3,7,2023-09-05
6,2,1,4,2020-11-30
7,3,1,10,2023-10-02
8,4,2,3,2023-10-05
9,5,3,6,2023-10-10
10,6,4,5,2023-10-12
11,7,5,8,2023-10-15
12,8,1,2,2023-10-17
13,9,2,4,2023-10-20
14,10,3,7,2023-10-22
15,11,4,9,2023-10-25
16,12,5,3,2023-10-27
17,13,1,5,2023-10-30
18,14,2,6,2023-11-02
19,15,3,8,2023-11-05
20,16,4,4,2023-11-08
21,17,5,10,2023-11-10
22,18,1,3,2023-11-12
23,19,2,7,2023-11-15
24,20,3,9,2023-11-18
25,21,4,2,2023-11-20
26,22,5,4,2023-11-23
27,23,1,8,2023-11-25
28,24,2,5,2023-11-28
29,25,3,6,2023-11-30
30,26,4,10,2023-12-02
31,27,5,3,2023-12-05
32,28,1,6,2023-12-08
33,29,2,7,2023-12-10
34,30,3,9,2023-12-12
35,31,4,4,2023-12-15
